"Worksheet exported from: C:\Users\icpoes\Documents\Agilent\ICP Expert\My Results\roasted_coffees_QC.esws"
"Instrument name",""
"Software version","7.7.0.13059"
"Firmware version",""

""
"Label","Rack:Tube","Type","Measurement","Date Time","Element","Element Label","Flags","Unadjusted Data","Concentration","Unit","Intensity","Concentration SD","Concentration % RSD","Intensity SD","Intensity % RSD","%RSE","Weight","Volume","Dilution","Internal Standard","Calibration fit","Correlation coefficient","Background correction","%RSE limit","Calibration Coefficient [1]","Calibration Coefficient [2]","Calibration Coefficient [3]","LIMS ID","Customer","Customer Ref.","Sample Date Time","Sample Site","Description","Replicates","Concentration Replicate 1","Concentration Replicate 2","Concentration Replicate 3","Intensity Replicate 1","Intensity Replicate 2","Intensity Replicate 3","Flags Replicate 1","Flags Replicate 2","Flags Replicate 3"
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ag 224.641","Ag","","0.00","0.00","ppm","41.73","-","-","10.37","24.86","21.27","-","-","-","-","Weighted Linear Through None","0.99998","Fitted","-","28.3244902956599","819.516689803016","-","","","","","","","3","0.00","0.00","0.00","49.72","30.01","45.47","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ag 241.318","Ag","","0.00","0.00","ppm","13.05","-","-","4.42","33.83","8.92","-","-","-","-","Weighted Linear Through None","0.99997","Fitted","-","13.8511156670021","905.213461267094","-","","","","","","","3","0.00","0.00","0.00","17.21","8.42","13.52","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ag 243.779","Ag","","0.00","0.00","ppm","17.68","-","-","2.24","12.69","14.89","-","-","-","-","Weighted Linear Through None","0.99998","Fitted","-","16.018100310062","1067.18931193031","-","","","","","","","3","0.00","0.00","0.00","19.65","15.24","18.17","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ag 328.068","Ag","","0.00","0.00","ppm","8.42","-","-","8.83","> 100.00","6.03","-","-","-","-","Weighted Linear Through None","0.99997","Fitted","-","4.00063834884759","82937.2573814629","-","","","","","","","3","0.00","0.00","0.00","10.60","15.96","-1.29","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ag 338.289","Ag","","0.00","0.00","ppm","22.09","-","-","6.11","27.67","9.04","-","-","-","-","Weighted Linear Through None","0.99997","Fitted","-","6.08299315467855","4629.36466660917","-","","","","","","","3","0.00","0.00","0.00","27.77","15.62","22.86","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Al 167.019","Al","","0.00","0.00","ppm","2.45","-","-","0.96","39.20","","-","-","-","-","Weighted Linear Through None","-","Fitted","-","-","-","-","","","","","","","3","0.00","0.00","0.00","3.54","2.13","1.70","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Al 237.312","Al","","0.00","0.00","ppm","16.21","-","-","3.72","22.98","19.55","-","-","-","-","Weighted Linear Through None","0.99998","Fitted","-","-28.3083531658092","4937.3598332001","-","","","","","","","3","0.00","0.00","0.00","17.45","19.15","12.02","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Al 308.215","Al","","0.00","0.00","ppm","1913.24","-","-","24.46","1.28","10.53","-","-","-","-","Weighted Linear Through None","0.99996","Fitted","-","1906.51424519208","9723.88144401386","-","","","","","","","3","0.00","0.00","0.00","1894.46","1940.90","1904.34","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Al 394.401","Al","","0.00","0.00","ppm","515.21","-","-","34.81","6.76","9.21","-","-","-","-","Weighted Linear Through None","0.99996","Fitted","-","546.507986329028","16748.8623512397","-","","","","","","","3","0.00","0.00","0.00","486.22","505.58","553.82","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Al 396.152","Al","","0.00","0.00","ppm","77.48","-","-","16.50","21.30","10.81","-","-","-","-","Weighted Linear Through None","0.99995","Fitted","-","49.8467791461444","55347.9340493821","-","","","","","","","3","0.00","0.00","0.00","91.93","59.50","81.00","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","As 188.980","As","","0.00","0.00","ppm","3.50","-","-","3.06","87.37","12.82","-","-","-","-","Weighted Linear Through None","0.99998","Fitted","-","-15.5523326393484","2661.95898451672","-","","","","","","","3","0.00","0.00","0.00","1.29","7.00","2.23","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","As 193.696","As","","0.00","0.00","ppm","15.33","-","-","4.85","31.63","8.56","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","-4.27288058386318","3143.28679025901","-","","","","","","","3","0.00","0.00","0.00","10.69","14.93","20.36","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","As 197.198","As","","0.00","0.00","ppm","14.83","-","-","3.15","21.21","16.14","-","-","-","-","Weighted Linear Through None","0.99998","Fitted","-","3.46015745412797","1295.96393839439","-","","","","","","","3","0.00","0.00","0.00","15.63","17.50","11.36","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","As 228.812","As","","0.00","0.00","ppm","37.50","-","-","6.46","17.22","5.20","-","-","-","-","Weighted Linear Through None","0.99998","Fitted","-","16.9236804069326","12338.3345118759","-","","","","","","","3","0.00","0.00","0.00","38.71","30.53","43.27","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","As 234.984","As","","0.00","0.00","ppm","116.72","-","-","10.05","8.61","31.19","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","116.420470255263","1860.0368996676","-","","","","","","","3","0.00","0.00","0.00","121.75","123.26","105.15","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","B 182.577","B","","0.00","0.00","ppm","15164.41","-","-","1176.67","7.76","113.52","-","-","-","-","Weighted Linear Through None","0.89688","Fitted","-","2693.44516504999","5842.02046479558","-","","","","","","","3","0.00","0.00","0.00","16380.56","15081.01","14031.65","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","B 208.889","B","","0.00","0.00","ppm","11349.54","-","-","844.81","7.44","62.66","-","-","-","-","Weighted Linear Through None","0.89688","Fitted","-","1903.5794426053","4403.06911554322","-","","","","","","","3","0.00","0.00","0.00","12228.06","11277.50","10543.05","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","B 208.956","B","","0.00","0.00","ppm","19770.47","-","-","1492.35","7.55","72.53","-","-","-","-","Weighted Linear Through None","0.89383","Fitted","-","3334.47916904287","7573.10374824204","-","","","","","","","3","0.00","0.00","0.00","21335.44","19612.69","18363.27","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","B 249.678","B","","0.00","0.00","ppm","103959.76","-","-","4716.71","4.54","116.75","-","-","-","-","Weighted Linear Through None","0.89706","Fitted","-","18496.3923377988","40435.0672548921","-","","","","","","","3","0.00","0.00","0.00","108201.23","104797.88","98880.18","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","B 249.772","B","","0.00","0.00","ppm","193650.40","-","-","8921.10","4.61","30.34","-","-","-","-","Weighted Linear Through None","0.89718","Fitted","-","31517.2838986966","76597.4722617362","-","","","","","","","3","0.00","0.00","0.00","202008.32","194686.33","184256.56","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ba 230.424","Ba","","0.00","0.00","ppm","25.72","-","-","3.71","14.41","1.45","-","-","-","-","Weighted Linear Through None","1.00000","Fitted","-","25.7694783960816","95643.957401912","-","","","","","","","3","0.00","0.00","0.00","21.69","26.49","28.98","","",""
