Swiss water,Liquid CO2,Ethylacetate,Caffeinated,Bali Gold,Capricornio Groen,Arabusta Green,Arabusta Roasted,Tanzania Robusta Green,Tanzania Robusta Roasted,Mambasa Green,Mambasa Roasted
"0,1857","0,126","0,1708","0,1645","0,1147","0,0985","0,1633","0,1448","0,1586","0,186","0,1641","0,1356"
"0,1829","0,2145","0,1405","0,1657","0,1271","0,1307","0,2524","0,1839","0,1553","0,1425","0,1483","0,2507"
"0,2294","0,1171","0,1987","0,2124","0,1491","0,154","0,1538","0,1837","0,1961","0,1686","0,119","0,1319"
"0,1523","0,1957","0,1857","0,2008","0,1627","0,1343","0,1916","0,1509","0,1715","0,1533","0,1627","0,1022"
"0,1192","0,1497","0,169","0,1487","0,1332","0,167","0,2013","0,1758","0,1599","0,128","0,1388","0,1128"
"0,1667","0,2208","0,1506","0,1936","0,1021","0,1549","0,1634","0,1666","0,1759","0,124","0,1278","0,149"
"0,1952","0,2047","0,184","0,2185","0,1284","0,1226","0,1878","0,159","0,1745","0,1605","0,1382","0,1239"
"0,1714","0,2168","0,1617","0,2308","0,1239","0,1214","0,175","0,1298","0,1543","0,1511","0,0924","0,1388"
"0,1799","0,1795","0,2187","0,1387","0,1309","0,1422","0,1503","0,1469","0,146","0,143","0,1176","0,1342"
"0,1522","0,2086","0,1409","0,1146","0,1126","0,124","0,1865","0,1479","0,1884","0,2243","0,1502","0,0937"
"0,2001","0,129","0,1836","0,1759","0,1152","0,1421","0,1634","0,0997","0,1515","0,1601","0,1296","0,1529"
"0,0986","0,1697","0,1314","0,1494","0,141","0,1598","0,1044","0,0902","0,1679","0,1561","0,1645","0,1391"
"0,1713","0,1474","0,1751","0,1689","0,1061","0,1857","0,1646","0,1482","0,1845","0,1327","0,1419","0,1504"
"0,148","0,1252","0,1691","0,1385","0,1666","0,1214","0,1318","0,1231","0,1922","0,1352","0,1406","0,1139"
"0,2054","0,1882","0,1705","0,1521","0,1341","0,1646","0,1438","0,2096","0,2046","0,1439","0,1045","0,1315"
"0,1522","0,1474","0,1474","0,1984","0,1144","0,1208","0,1584","0,1747","0,2155","0,1508","0,1721","0,0767"
"0,1226","0,2245","0,1949","0,2001","0,1343","0,1496","0,1417","0,1216","0,1777","0,1436","0,1374","0,116"
"0,173","0,1777","0,1302","0,2223","0,1095","0,1314","0,175","0,0948","0,1697","0,1828","0,0663","0,1019"
"0,186","0,1969","0,1782","0,1433","0,1062","0,1493","0,1577","0,1276","0,1517","0,1362","0,131","0,1209"
"0,1887","0,1987","0,1149","0,181","0,1336","0,122","0,1133","0,1813","0,2168","0,1524","0,1317","0,0837"
"0,1699","0,1595","0,1931","0,2117","0,1145","0,1381","0,1566","0,1607","0,1595","0,1311","0,1163","0,0999"
"0,1716","0,2032","0,1524","0,1698","0,1028","0,1241","0,1652","0,1542","0,1857","0,161","0,1322","0,1533"
"0,1117","0,1888","0,1956","0,2166","0,1676","0,1254","0,1237","0,145","0,1685","0,1501","0,1217","0,1965"
"0,1302","0,1826","0,2128","0,1371","0,1375","0,1166","0,1765","0,1524","0,1811","0,1206","0,1457","0,1274"
"0,143","0,1679","0,1046","0,1571","0,11","0,112","0,1917","0,1251","0,2154","0,132","0,1087","0,0673"
"0,1381","0,1978","0,1724","0,1698","0,1731","0,1401","0,1577","0,1345","0,1929","0,1542","0,1138","0,1197"
"0,116","0,2138","0,1538","0,2243","0,1406","0,151","0,1463","0,1046","0,1789","0,19","0,1382","0,0878"
"0,1333","0,1242","0,1475","0,1963","0,0997","0,1432",,"0,1545","0,1768","0,1665","0,1277","0,1578"
"0,1045","0,1332","0,1562","0,1214","0,1259","0,1433",,"0,1275","0,1566","0,1446","0,1541","0,1267"
"0,1983","0,1156","0,1521","0,1908","0,1228","0,1377",,,"0,1726","0,1865","0,1393","0,101"
